,0
0,c82b5001896b4ae
1,TimBrellow
2,tomhicksva1
3,TrickFreee
4,TWD913
5,rcooley123
6,politiciandirec
7,Reuters
8,HouseCracka
9,SocialPowerOne1
10,PoliticusJason
11,politicususa
12,PoliticusSarah
13,apolloenergies
14,HHooversGhost
15,constitutionsue
16,Fractaurean
17,KrauseForIowa
18,ReutersBiz
19,jaskolka_b
20,kikilea_kiki
21,LauraLeeBordas
22,gldbug
23,acarlson1018
24,davidalexander5
25,akminmd
26,TRF_Stories
27,relombardo3
28,lgbtqportland
29,GoodvibrasCom
30,crlbe
31,brat2381
32,ReutersIndia
33,dartfacts
34,josette_jackson
35,USRealityCheck
36,ReutersPolitics
37,InSpiteOfTrump
38,YahooNews
39,KassandraSeven
40,CraigRozniecki
41,Moatsie345
42,a35362
43,LiberalResist
44,twizler557
45,aroseblush
46,ReutersUS
47,mog7546
48,MalcolmFlynn4
49,jilevin
50,ReferralKings
51,MADE__USA
52,Vazquez183
53,ReutersScience
54,ReutersWorld
55,jimmylemons
56,bsindia
57,thomaskaine5
58,MelindaThinker
59,madcosta
60,worthynews
61,TRUMPMOVEMENTUS
62,pink_lady56
63,VOANews
64,Shahydat
65,crewislife
66,davidmfprosser
67,Rocio__1
68,mueller__report
69,DrAlexConcorde
70,ClimateChange_h
71,TopNyt
72,GottaBernNow
73,Headerop1
74,Mysstyblue
75,Mooncatadams
76,PersianKittenz
77,terri_georgia
78,igggie1
79,JoeFreedomLove
80,Brasilmagic
81,carlottaclarice
82,MassD
83,OMAHAGEMGIRL
84,415holgate
85,JSavoly
86,BarbaraRacek
87,LadyLiberty411
88,chp3120
89,ReutersLegal
90,twzzler2
91,Libertea2012
92,BarryWeiser
93,KAYLEEBURRIS
94,Yardarm756DD
95,wvjoe911
96,thechrisbuskirk
97,equalandallied1
98,MainstreamNews
99,RepStevenSmith
100,jgcOCANADA
101,Kkzahu
102,InvestigateRU
103,kencampbell66
104,LauraWalkerKC
105,gollum1419_g
106,wonderfullone
107,3L3V3NTH
108,_ST3V3N_W
109,AnnaQuentana
110,vmpcott
111,archivesgirl1
112,iowa_trump
113,japantimes
114,PattonDivision
115,Tea_Party_Chris
116,USSANews
117,sassyteapot63
118,nateraymond
119,kindcutesteve
120,minnman47
121,Flowerstoall
122,Wutevuh
123,Thomas1774Paine
124,true_pundit
125,ReutersUK
126,Immigration_Top
127,TheStarKenya
128,FRANCE24
129,carollemieux
130,92newschannel
131,thejoshuablog
132,Jerusalem_Post
133,gglightbulb
134,JPodkul
135,micarosenberg
136,GGhanepoorNews
137,ReutersAfrica
138,XenaBb7
139,eqracer
140,AllSidesNow
141,_A__Dub
142,IndianExpress
143,cooljim198
144,rath_22
145,CraigCo62
146,abcnews
147,rjoseph7777
148,WillSmirk4Food
149,RawStory
150,HumanRightsPath
151,FoxBusiness
152,Mojahedineng
153,globeandancho
154,PatriotByGod
155,AlArabiya_Eng
156,501Awani
157,moneycontrolcom
158,yojudenz
159,DByersEY
160,BoycottUtah
161,5_2blue
162,SenateNews
163,randypcox
164,buddy_dek
165,WVFDW
166,TheRynheart
167,corybantic
168,wendydshaffer
169,CallawayBOT
170,Mlaj1591
171,PattiKimble
172,Hal_Ryder
173,WisePaxCat
174,jaynya13
175,thomaskeister
176,Billionaire128
177,iDrainTheSwamp
178,papicek
179,PhilipPullella
180,SafetyPinDaily
181,stengel_jim
182,bmangh
183,essenviews
184,fraowe
185,m_clem
186,MiCarratu
187,_LisaGrace_
188,PatVPeters
189,LizSchrayer
190,chrislehane
191,gsiskind
192,JewhadiTM
193,Califgal49
194,MyWchu
195,johnastoehr
196,marine_gun
197,NoSilentConsent
198,JulieToniF
199,FreeBeacon
200,hrkbenowen
201,Paintking
202,Mmarty1230
203,sophiesmom1018
204,ARnews1936
205,VINNews
206,CNBC
207,MissConception0
208,gstuedler
209,Baby1985Sweet
210,andrew_chung_
211,LGBTPlusProud
212,MikeScarcella
213,TexasTribune
214,PinoyBuilt
215,spauley311
216,Kegan05
217,JohnalanJames2
218,KarenChestney
219,ZyroFoxtrot
220,karolcummins
221,knammari1
222,BrownieJohnston
223,Chicana74
224,DrHubaEvaluator
225,LadyLovesBats
226,Reuters_Health
227,ACC_HQ
228,MiningFan
229,CatedraInt
230,YahooFinance
231,RussVet1
232,NateMFNelson
233,AmericaTalks
234,ErosineWinds
235,TrumpResults
236,dna
237,Italians4Trump
238,VentureBeat
239,CptSeaMonkey
240,hilarioheg
241,yvonnewingett
242,IRLILaw
243,FranTownsend
244,MasafumiNegishi
245,birdieglad
246,rusincerely
247,GuardianUS
248,Harleyriders76
249,StevenLHall1
250,MichaelAddams
251,AustenParrish
252,jennablan
253,Adorable_Todd
254,EttaDziver
255,CaribBusiness
256,baileyjer
257,1Progressivism
258,coopah
259,New_Narrative
260,oakleyfullwood
261,CatLoverCares
262,ROYALMRBADNEWS
263,MStuart1970
264,LetitiaStein
265,pamelasilb1
266,CPutnam12290536
267,FriendEden100
268,CaffreyEj
269,AriesaSandino
270,pinkisright
271,debv219
272,dave_taz
273,tommarks80
274,AttorneyCrump
275,nytimes
276,CPA_Trendlines
277,HealthPlusAdv
278,pndblog
279,NJWookie
280,Watchdogsniffer
281,nytgraphics
282,WorkingAmerica
283,bobfunk
284,AFLCIO
285,JWH1895
286,RenahsMommy
287,AmandaBecker
288,Uab_BabaKofi
289,citzensinformed
290,evanfx
291,nycjim
292,HousingRalph
